,id,budget_adj,revenue_adj,production_company
4,168259,174799923.088,1385748801.47,Universal Pictures
6,87101,142599937.256,405355075.684,Paramount Pictures
8,211672,68079970.0448,1064192016.8,Universal Pictures
24,318846,25759988.6656,122678731.541,Paramount Pictures
25,177677,137999939.28,627743451.673,Paramount Pictures
26,214756,62559972.4736,198594430.138,Universal Pictures
32,254470,26679988.2608,264505582.098,Universal Pictures
42,321697,27599987.856,31686509.2179,Universal Pictures
52,253412,50599977.736,187153294.933,Universal Pictures
59,201088,64399971.664,16332697.6136,Universal Pictures
69,271718,32199985.832,129532072.566,Universal Pictures
91,274167,45999979.76,221131463.342,Paramount Pictures
102,241251,3679998.3808,46150034.454,Universal Pictures
106,273477,13799993.928,13671898.7044,Paramount Pictures
110,287903,13799993.928,56624785.5251,Universal Pictures
116,297291,0.0,0.0,Universal Pictures
118,227719,11039995.1424,29668368.6659,Paramount Pictures
124,146301,9199995.952,71851557.1453,Paramount Pictures
129,228165,68079970.0448,286666383.307,Paramount Pictures
211,243938,12879994.3328,11329473.935,Paramount Pictures
285,266639,4599997.976,2146988.33533,Universal Pictures
401,347754,0.0,0.0,Universal Pictures
412,343934,0.0,0.0,Paramount Pictures
565,157336,151980023.377,572690645.123,Paramount Pictures
580,240832,36843642.0309,426796807.314,Universal Pictures
581,98566,115136381.346,439544649.428,Paramount Pictures
584,91314,193429120.662,226127852.964,Paramount Pictures
598,242512,4605455.25386,94439261.8745,Universal Pictures
607,49017,64476373.554,198522018.221,Universal Pictures
617,238636,8289819.45694,100198906.849,Universal Pictures
621,184315,92109105.0771,224193561.758,Paramount Pictures
622,86834,115136381.346,334022131.055,Paramount Pictures
626,195589,16579638.9139,246997381.338,Universal Pictures
632,168530,23027276.2693,141846012.919,Universal Pictures
635,137094,55265463.0463,46560330.0822,Paramount Pictures
691,226857,18421821.0154,31388867.1409,Universal Pictures
775,284296,0.0,23427297.8228,Paramount Pictures
805,243684,0.0,424772.191156,Paramount Pictures
811,227300,0.0,0.0,Universal Pictures
907,284536,23027276.2693,36080177.2916,Paramount Pictures
1051,285423,0.0,0.0,Universal Pictures
1107,260535,7368728.40617,0.0,Universal Pictures
1130,298931,0.0,0.0,Universal Pictures
1217,11009,12592233.614,853081315.968,Paramount Pictures
1219,11006,0.0,455973514.575,Universal Pictures
1224,11590,0.0,100737868.912,Universal Pictures
1229,7227,21586686.1954,107933430.977,Universal Pictures
1236,50374,0.0,0.0,Paramount Pictures
1241,38985,79151182.7165,43173372.3908,Paramount Pictures
1246,24655,0.0,0.0,Universal Pictures
1248,10670,0.0,0.0,Universal Pictures
1256,18196,0.0,10.7933430977,Universal Pictures
1262,16869,71148030.3887,324364937.763,Universal Pictures
1266,13475,152460065.119,392005772.748,Paramount Pictures
1273,13183,132132056.436,188297310.747,Paramount Pictures
1282,14869,177870075.972,307429640.188,Paramount Pictures
1301,16871,30492013.0237,92332504.8315,Universal Pictures
1314,19899,71148030.3887,174663169.978,Universal Pictures
1321,11322,81312034.73,217616028.716,Universal Pictures
1331,16995,60984026.0475,89223892.8909,Universal Pictures
1338,18947,50820021.7062,36944919.8375,Universal Pictures
1345,25643,18295207.8142,36725611.1158,Universal Pictures
1362,8373,152460065.119,850012865.597,Paramount Pictures
1368,22897,86394036.9006,222697050.06,Universal Pictures
1373,18162,101640043.412,69815357.6479,Universal Pictures
1378,26123,0.0,0.0,Universal Pictures
1401,24418,40656017.365,28631665.8336,Universal Pictures
1407,22947,25410010.8531,166354259.053,Paramount Pictures
1413,13804,86394036.9006,369120316.605,Universal Pictures
1421,38842,22360809.5507,0.0,Paramount Pictures
1423,17336,0.0,33006709.6658,Paramount Pictures
1434,22824,10164004.3412,43027579.4159,Universal Pictures
1441,16558,79428291.0182,60984026.0475,Universal Pictures
1508,21724,0.0,0.0,Paramount Pictures
1551,19724,55902023.8769,0.0,Paramount Pictures
1663,18480,42688818.2332,0.0,Universal Pictures
1733,15004,0.0,0.0,Paramount Pictures
1744,20352,69000000.0,543513985.0,Universal Pictures
1747,11324,80000000.0,294804195.0,Paramount Pictures
1759,44264,38000000.0,252276927.0,Paramount Pictures
1764,22538,60000000.0,47664559.0,Universal Pictures
1765,39451,100000000.0,310650585.0,Paramount Pictures
1781,10196,150000000.0,318502923.0,Paramount Pictures
1789,31867,32000000.0,18409891.0,Universal Pictures
1796,25195,19000000.0,29922472.0,Universal Pictures
1797,22972,100000000.0,94882889.0,Universal Pictures
1800,37950,44000000.0,48190704.0,Universal Pictures
1816,45317,25000000.0,9190869.0,Paramount Pictures
1817,32823,40000000.0,90029656.0,Universal Pictures
1830,35019,35000000.0,93246388.0,Universal Pictures
1842,41436,3000000.0,177512032.0,Paramount Pictures
1854,54553,0.0,0.0,Universal Pictures
1870,38778,69000000.0,86387857.0,Paramount Pictures
1888,7978,150000000.0,0.0,Universal Pictures
1892,54551,0.0,0.0,Universal Pictures
1894,58496,0.0,8212430.0,Universal Pictures
1990,44040,10000000.0,33583175.0,Universal Pictures
2019,54559,0.0,0.0,Universal Pictures
2100,39440,0.0,0.0,Paramount Pictures
2168,564,104724227.728,544416081.924,Universal Pictures
2173,2668,130905284.659,269758486.295,Paramount Pictures
2175,2105,14399581.3125,308259696.711,Universal Pictures
2188,9481,95560857.8014,198313200.319,Universal Pictures
2195,9473,27490109.7785,0.0,Paramount Pictures
2196,2112,117814756.193,211577133.779,Paramount Pictures
2197,4806,91633699.2616,405096233.056,Paramount Pictures
2199,10398,91633699.2616,232803997.743,Paramount Pictures
2206,10400,65452642.3297,96812627.8045,Universal Pictures
2209,8649,41889691.091,0.0,Paramount Pictures
2219,2275,78543170.7957,195972871.712,Paramount Pictures
2222,9451,0.0,0.0,Paramount Pictures
2226,9423,98178963.4946,18340733.6273,Universal Pictures
2227,1213,52362113.8638,168603735.435,Paramount Pictures
2230,9824,89015593.5684,38960045.2199,Universal Pictures
2236,13466,0.0,0.0,Universal Pictures
2273,10397,32.7263211649,17.0176870057,Paramount Pictures
2274,12220,65452642.3297,77103253.245,Universal Pictures
2277,27653,0.0,0.0,Universal Pictures
2291,11353,71997906.5627,0.0,Universal Pictures
2295,14709,0.0,0.0,Paramount Pictures
2306,10219,0.0,0.0,Universal Pictures
2307,16162,11781475.6193,45258905.1265,Universal Pictures
2312,10390,65452642.3297,0.0,Universal Pictures
2318,15256,7854317.07957,8970219.17865,Paramount Pictures
2320,8970,98178963.4946,37962532.5512,Paramount Pictures
2333,22267,49744008.1706,831374.226661,Universal Pictures
2355,17709,91633699.2616,0.0,Universal Pictures
2369,10482,0.0,0.0,Universal Pictures
2386,1734,120685835.436,533250701.302,Universal Pictures
2388,1995,141621133.42,338293898.826,Paramount Pictures
2390,2770,36944643.5008,354118835.155,Universal Pictures
2396,853,86204168.1686,119425124.106,Paramount Pictures
2400,9398,34481667.2674,74851055.8225,Paramount Pictures
2410,1903,83741191.9352,250470325.016,Paramount Pictures
2413,1535,113296906.736,176163833.238,Universal Pictures
2429,2043,73889287.0016,129526148.002,Paramount Pictures
2432,9896,59111429.6013,105290428.616,Paramount Pictures
2459,20857,39407619.7342,49533812.7845,Paramount Pictures
2466,11371,83741191.9352,87521717.6008,Paramount Pictures
2473,8386,14777857.4003,38367547.9729,Universal Pictures
2474,16300,0.0,0.0,Paramount Pictures
2495,9799,46796548.4344,255267690.419,Universal Pictures
2516,9740,107139466.152,433104848.775,Universal Pictures
2517,11456,92361608.752,66807360.9,Paramount Pictures
2527,24478,0.0,0.0,Universal Pictures
2551,19366,27092738.5673,0.0,Universal Pictures
2597,11631,52664904.9581,617639458.694,Universal Pictures
2598,4922,151917995.071,338201950.262,Paramount Pictures
2599,1735,146854061.902,406257724.017,Universal Pictures
2600,1724,151917995.071,165805400.34,Universal Pictures
2603,11253,86086863.8738,162438886.429,Universal Pictures
2606,8909,75958997.5357,261572412.016,Universal Pictures
2620,10483,45575398.5214,74705690.2809,Universal Pictures
2625,7191,25319665.8452,172947523.068,Paramount Pictures
2627,9870,30383599.0143,106517925.108,Universal Pictures
2638,8390,0.0,56156960.8623,Universal Pictures
2650,15373,28358025.7467,93562168.0845,Universal Pictures
2651,13486,0.0,0.0,Universal Pictures
2659,8204,91150797.0428,164921838.192,Paramount Pictures
2662,13971,0.0,0.0,Universal Pictures
2674,12177,62792771.2962,42353789.0576,Paramount Pictures
2710,8988,25319665.8452,11350431.4674,Paramount Pictures
2711,8457,40511465.3524,0.0,Paramount Pictures
2773,12689,1.01278663381,0.0,Paramount Pictures
2786,14220,0.0,6659357.72313,Paramount Pictures
2867,14914,0.0,0.0,Universal Pictures
2872,20268,4760097.1789,0.0,Paramount Pictures
2921,13490,35447532.1833,44208931.6033,Universal Pictures
3043,56292,140562716.176,673453790.734,Paramount Pictures
3057,41630,24234951.0648,143258069.269,Paramount Pictures
3058,17578,126021745.537,360557976.789,Paramount Pictures
3059,55721,31505436.3842,279558422.712,Universal Pictures
3061,37686,48469902.1296,252136540.684,Paramount Pictures
3077,44896,130868735.75,238204949.165,Paramount Pictures
3078,49520,50408698.2148,73141505.9405,Universal Pictures
3079,44826,164797667.241,180085229.476,Paramount Pictures
3093,57157,11632776.5111,22237047.8728,Paramount Pictures
3097,38050,48663781.7381,123956325.71,Universal Pictures
3100,59861,29081941.2777,35053796.7444,Universal Pictures
3101,39513,38775921.7037,94566766.3208,Universal Pictures
3127,58233,43622911.9166,155179867.929,Universal Pictures
3133,60935,33928931.4907,27267877.6387,Universal Pictures
3134,59108,72704853.1944,148250646.588,Universal Pictures
3136,38319,48372962.3253,25322264.7465,Universal Pictures
3140,63710,0.0,0.0,Universal Pictures
3148,64685,38775921.7037,53557187.6987,Paramount Pictures
3168,50359,61072076.6833,178324379.004,Universal Pictures
3182,38356,189032618.305,1089358138.29,Paramount Pictures
3183,72571,4846990.21296,199408878.523,Paramount Pictures
3217,48340,29081941.2777,105285652.521,Universal Pictures
3256,78080,0.0,0.0,Universal Pictures
3273,51497,121174755.324,606976636.538,Universal Pictures
3366,57353,24234951.0648,0.0,Universal Pictures
3497,2501,72735683.6172,259465426.669,Universal Pictures
3527,245,32731057.6278,156381719.777,Universal Pictures
3531,201,72735683.6172,81600740.2553,Paramount Pictures
3534,590,30306534.8405,131949890.933,Paramount Pictures
3543,10375,66674376.6491,7778235.20441,Universal Pictures
3545,9334,72735683.6172,200427031.199,Universal Pictures
3551,4614,82.4337747662,233.966448969,Paramount Pictures
3553,10590,90919604.5215,138998841.805,Paramount Pictures
3554,9012,6061306.9681,77926965.1303,Paramount Pictures
3565,9027,0.0,0.0,Universal Pictures
3571,1537,54551762.7129,115086961.571,Paramount Pictures
3573,8665,121226139.362,42633979.7354,Paramount Pictures
3592,9298,0.0,0.0,Universal Pictures
3605,9093,42429148.7767,36225576.8728,Paramount Pictures
3618,16077,3636784.18086,0.0,Universal Pictures
3628,15028,31518796.2341,47027599.3127,Paramount Pictures
3633,11870,18183920.9043,64213502.9917,Universal Pictures
3635,11022,7879699.05853,15315403.7449,Paramount Pictures
3655,17130,14547136.7234,74118910.2352,Paramount Pictures
3657,15992,30306534.8405,12994662.6555,Paramount Pictures
3663,9533,94556388.7024,253600595.754,Universal Pictures
3665,12771,35155580.415,20523809.6624,Paramount Pictures
3668,10052,72735683.6172,63428425.5416,Universal Pictures
3678,17187,0.0,0.0,Universal Pictures
3682,47354,0.0,0.0,Universal Pictures
3684,13440,0.0,0.0,Universal Pictures
3685,11857,0.0,0.0,Paramount Pictures
3691,14317,42429148.7767,0.0,Paramount Pictures
3711,12277,30306534.8405,50435496.4198,Universal Pictures
3739,13,80911135.8879,997333314.601,Paramount Pictures
3743,36593,44133346.8479,75221756.0924,Paramount Pictures
3750,9331,91208916.8191,317594916.486,Paramount Pictures
3753,306,73555578.0799,175369721.964,Paramount Pictures
3763,888,67671131.8335,502577619.892,Universal Pictures
3765,193,55902239.3407,176533387.392,Paramount Pictures
3770,6280,88266693.6959,54431127.7791,Universal Pictures
3772,8850,36777789.04,70706674.9186,Universal Pictures
3781,8831,39720012.1632,149533460.506,Universal Pictures
3790,11667,51488904.6559,146263091.238,Universal Pictures
3807,2788,16917782.9584,29539699.4902,Universal Pictures
3814,2087,0.0,0.0,Universal Pictures
3820,4954,66200020.2719,0.0,Paramount Pictures
3825,11777,36777789.04,0.0,Paramount Pictures
3828,8986,0.0,26682522.7974,Paramount Pictures
3842,29918,0.0,0.0,Paramount Pictures
3853,11593,0.0,0.0,Paramount Pictures
3856,19819,0.0,0.0,Paramount Pictures
3866,10897,0.0,99017991.8415,Universal Pictures
3876,8987,0.0,0.0,Universal Pictures
3877,46717,66200020.2719,31416901.1006,Paramount Pictures
3885,21352,0.0,0.0,Paramount Pictures
3888,19855,0.0,0.0,Universal Pictures
3894,34152,0.0,0.0,Universal Pictures
3916,49040,123466756.576,262673566.242,Universal Pictures
3922,58595,161456527.83,376668581.984,Universal Pictures
3926,72105,47487214.0676,521759415.527,Universal Pictures
3927,75780,56984656.8811,207367731.488,Paramount Pictures
3940,71552,47487214.0676,223180013.581,Universal Pictures
3951,73723,66482099.6947,331309095.226,Universal Pictures
3955,44833,198496554.803,287796721.483,Universal Pictures
3959,82695,57934401.1625,419606302.503,Universal Pictures
3974,96724,0.0,65465066.031,Universal Pictures
3977,76493,61733378.2879,170364685.658,Paramount Pictures
3981,77866,23743607.0338,59928864.1533,Universal Pictures
3996,72207,28492328.4406,51200477.7214,Universal Pictures
4003,59961,80728263.9149,197619185.784,Universal Pictures
4008,87502,29442072.7219,153642388.037,Paramount Pictures
4011,78698,37989771.2541,23476933.0858,Universal Pictures
4038,72358,37989771.2541,20936426.0173,Paramount Pictures
4064,82679,13296419.9389,10843574.2676,Paramount Pictures
4071,82687,37989771.2541,39759834.3646,Paramount Pictures
4083,82990,4748721.40676,135640571.176,Paramount Pictures
4385,101267,11396931.3762,31082239.3071,Paramount Pictures
4423,310,94828211.5826,574389691.557,Universal Pictures
4430,8273,65194395.463,274348924.909,Universal Pictures
4432,9654,71121158.687,208705242.862,Paramount Pictures
4436,9486,47414105.7913,190347505.093,Universal Pictures
4440,10028,21336347.6061,74258506.2091,Universal Pictures
4442,1584,41487342.5674,155616590.812,Paramount Pictures
4445,1996,112608501.254,185514075.589,Paramount Pictures
4448,8619,177802896.717,251307931.147,Universal Pictures
4453,9341,71121158.687,87962965.5532,Paramount Pictures
4454,1927,162393312.335,290838693.893,Universal Pictures
4458,9919,59267632.2391,210247706.698,Paramount Pictures
4467,9562,94828211.5826,23091545.496,Paramount Pictures
4468,9620,71121158.687,114113676.267,Paramount Pictures
4503,4464,103125680.096,175830997.398,Universal Pictures
4543,11615,59267632.2391,46176121.1184,Universal Pictures
4552,2662,8297468.51348,19948945.6762,Universal Pictures
4571,22309,17780289.6717,35843377.2214,Paramount Pictures
4635,13778,0.0,0.0,Paramount Pictures
4653,21525,0.0,9255854.57525,Paramount Pictures
4670,597,271692064.214,2506405735.42,Paramount Pictures
4682,8413,81507619.2643,36234540.8914,Paramount Pictures
4689,754,108676825.686,333741296.175,Paramount Pictures
4695,9619,157581397.244,241979494.041,Universal Pictures
4703,11975,54338412.8429,62376108.7583,Paramount Pictures
4705,4824,81507619.2643,216443863.325,Universal Pictures
4709,10003,92375301.8329,160384313.859,Paramount Pictures
4715,2163,48904571.5586,68139206.8629,Paramount Pictures
4726,10806,47546111.2375,0.0,Paramount Pictures
4729,9437,36678428.6689,82224713.7894,Paramount Pictures
4743,11015,81507619.2643,46128704.6062,Paramount Pictures
4778,10371,47546111.2375,42942594.863,Universal Pictures
4789,12145,0.0,12744069.4717,Universal Pictures
4794,9403,38036888.99,56010404.4476,Paramount Pictures
4803,17894,21735365.1372,0.0,Paramount Pictures
4804,16992,0.0,0.0,Universal Pictures
4815,17834,0.0,0.0,Universal Pictures
4823,330,99167603.4383,311188651.422,Universal Pictures
4824,10871,50263031.8797,8805804.70095,Paramount Pictures
4837,14908,0.0,6153611.97619,Universal Pictures
4838,17832,0.0,0.0,Universal Pictures
4840,37244,0.0,0.0,Universal Pictures
4842,14817,0.0,0.0,Paramount Pictures
4856,106646,93603335.274,366925723.881,Paramount Pictures
4858,75612,112324002.329,267863327.898,Universal Pictures
4862,93456,71138534.8083,908665501.929,Universal Pictures
4863,54138,177846337.021,437469458.168,Paramount Pictures
4871,158015,2808100.05822,83614574.2265,Universal Pictures
4873,72190,187206670.548,497843379.155,Paramount Pictures
4880,72559,121684335.856,348088599.301,Paramount Pictures
4885,107985,18720667.0548,0.0,Universal Pictures
4889,60304,46801667.637,210423550.412,Paramount Pictures
4894,193756,37441334.1096,139745661.953,Universal Pictures
4897,49524,121684335.856,57705052.1464,Universal Pictures
4928,208134,14040500.2911,142119382.63,Paramount Pictures
4934,59859,26208933.8767,27144967.2295,Universal Pictures
4946,109443,46801667.637,162541269.711,Paramount Pictures
4951,134374,23400833.8185,80662946.5581,Paramount Pictures
4957,132232,14040500.2911,137126799.758,Universal Pictures
5026,76544,23400833.8185,1923493.31391,Universal Pictures
5076,82992,149765336.438,738230644.234,Universal Pictures
5203,183258,5616200.11644,0.0,Universal Pictures
5341,159154,0.0,563531.391751,Universal Pictures
5421,105,38516154.9931,772572771.714,Universal Pictures
5422,2108,2027166.05227,104450077.488,Universal Pictures
5430,606,62842147.6203,260489226.119,Universal Pictures
5438,9281,24325992.6272,139280483.763,Paramount Pictures
5441,16248,0.0,15894751.5657,Paramount Pictures
5447,15196,30407490.784,29685813.5879,Paramount Pictures
5448,9731,4459765.31499,44456598.8816,Paramount Pictures
5453,9749,0.0,0.0,Universal Pictures
5457,11177,0.0,85951840.6161,Universal Pictures
5477,11064,40543321.0453,92911369.2594,Universal Pictures
5484,17898,0.0,0.0,Paramount Pictures
5488,27590,0.0,17839061.2599,Universal Pictures
5490,11904,36488988.9408,0.0,Paramount Pictures
5492,19357,0.0,50050127.7621,Paramount Pictures
5514,9872,50679151.3067,20014299.6293,Paramount Pictures
5518,11338,231.096929958,13582012.5502,Universal Pictures
5540,8202,69226923.9586,58400727.4187,Paramount Pictures
5542,74,147386354.234,660714467.634,Paramount Pictures
5544,6957,29030645.531,122207000.115,Universal Pictures
5548,2313,0.0,0.0,Universal Pictures
5549,11283,27914082.2414,136767638.602,Universal Pictures
5555,4348,31263772.1103,135269350.237,Universal Pictures
5573,25,80392556.8551,108183814.901,Universal Pictures
5575,16320,43545968.2965,43400216.5909,Universal Pictures
5579,9621,63644107.5103,58100246.8386,Paramount Pictures
5581,8292,50245348.0345,103142169.882,Paramount Pictures
5597,179,89325063.1724,181938319.257,Universal Pictures
5610,9913,48012221.4551,102695705.351,Universal Pictures
5614,7214,33496898.6896,85606690.8045,Paramount Pictures
5622,9910,39079715.1379,34084779.3107,Universal Pictures
5626,15648,0.0,0.0,Universal Pictures
5628,6963,22331265.7931,13937808.318,Paramount Pictures
5631,11683,16748449.3448,52222337.2282,Universal Pictures
5637,10060,44662531.5862,51856021.8436,Paramount Pictures
5638,9981,50245348.0345,62606187.1228,Universal Pictures
5643,9291,91558189.7517,212504959.495,Paramount Pictures
5651,6961,16748449.3448,52673915.6189,Universal Pictures
5655,7364,145153227.655,133171929.644,Paramount Pictures
5678,10092,1116563.28965,11218863.9348,Universal Pictures
5680,11804,11165632.8965,101826573.603,Universal Pictures
5702,13499,50245348.0345,80424660.2828,Paramount Pictures
5767,13341,33496898.6896,38245471.5264,Paramount Pictures
5858,956,162250373.744,430342087.606,Paramount Pictures
5865,9693,82206856.0302,75673304.9785,Universal Pictures
5871,9767,56246796.2312,221741837.806,Universal Pictures
5895,6877,54083457.9146,95960487.0583,Paramount Pictures
5901,1247,91941878.4548,64801247.078,Universal Pictures
5904,82,146025336.369,177171468.683,Universal Pictures
5912,7516,18388375.691,61767522.0398,Universal Pictures
5922,9035,16765871.9535,0.0,Universal Pictures
5936,9353,34613413.0653,86747695.585,Paramount Pictures
5937,9676,54083457.9146,53122072.53,Universal Pictures
5939,9310,18388375.691,7911357.42881,Universal Pictures
5943,1819,58410134.5477,141083588.039,Universal Pictures
5955,1852,68145156.9724,176253548.01,Paramount Pictures
5963,9788,24878390.6407,41649680.675,Universal Pictures
5967,9907,55165127.0729,78722799.6713,Paramount Pictures
5970,1125,75716841.0804,167591309.913,Paramount Pictures
5974,12094,11898360.7412,78722488.1506,Paramount Pictures
5977,4723,18388375.691,405347.945386,Universal Pictures
5978,9615,91941878.4548,171410264.024,Universal Pictures
6000,9986,91941878.4548,155.760358794,Paramount Pictures
6012,17379,48675112.1231,41536053.4933,Paramount Pictures
6015,9829,16225037.3744,82516317.2497,Universal Pictures
6054,9895,21633383.1658,44605492.0021,Universal Pictures
6097,1967,0.0,0.0,Paramount Pictures
6112,9809,4326676.63317,5008176.878,Universal Pictures
6210,2502,86583404.9859,333057748.36,Universal Pictures
6215,10625,19625571.7968,148972948.805,Paramount Pictures
6216,7131,184711263.97,346630860.773,Universal Pictures
6226,1538,75038950.9878,251396983.988,Paramount Pictures
6227,747,4617781.59925,34678837.9076,Universal Pictures
6231,11774,161622355.974,241364107.692,Paramount Pictures
6236,5137,80811177.9869,66910149.9763,Paramount Pictures
6238,11836,34633361.9944,161809136.004,Paramount Pictures
6257,5966,48486706.7921,198522339.904,Universal Pictures
6265,2789,121216766.98,133653299.036,Universal Pictures
6276,14462,92355631.985,110949088.034,Paramount Pictures
6280,8849,69266723.9887,15464880.1547,Paramount Pictures
6284,9890,103900085.983,117753430.781,Paramount Pictures
6296,13572,57722269.9906,29086251.8483,Paramount Pictures
6300,3989,36942252.794,58769839.1442,Paramount Pictures
6307,10762,21934462.5964,80385323.8589,Paramount Pictures
6315,1677,46177815.9925,143995745.638,Universal Pictures
6319,11823,35787807.3942,47923345.5181,Universal Pictures
6321,13505,0.0,0.0,Paramount Pictures
6334,11137,0.0,0.0,Paramount Pictures
6338,7092,0.0,0.0,Universal Pictures
6374,31063,0.0,0.0,Universal Pictures
6387,8080,31170025.7949,15007790.1976,Paramount Pictures
6394,15673,23088907.9962,13092583.7504,Universal Pictures
6407,8842,45023370.5927,7635825.11907,Paramount Pictures
6424,2791,0.0,0.0,Universal Pictures
6456,12540,0.0,0.0,Universal Pictures
6457,238,31287365.5882,1277913732.39,Paramount Pictures
6461,573,18250963.2598,65703467.7352,Universal Pictures
6462,14881,0.0,33008170.6955,Universal Pictures
6463,811,5214560.93136,0.0,Universal Pictures
6479,11610,0.0,0.0,Paramount Pictures
6496,813,9261128.63522,220821131.355,Paramount Pictures
6497,525,71442992.3289,304902523.975,Universal Pictures
6501,4488,1455320.21411,158112870.402,Paramount Pictures
6505,13612,0.0,110274095.009,Universal Pictures
6506,12705,0.0,174989358.963,Universal Pictures
6522,11335,52920735.0584,0.0,Paramount Pictures
6528,17496,0.0,0.0,Paramount Pictures
6532,2768,12700976.414,60180597.3005,Paramount Pictures
6536,23954,19051464.621,33683195.8409,Paramount Pictures
6537,16619,15876220.5175,0.0,Paramount Pictures
6551,16769,0.0,0.0,Universal Pictures
6552,15668,52920735.0584,59460666.2668,Universal Pictures
6557,5922,0.0,0.0,Paramount Pictures
6558,13005,0.0,17620956.2936,Universal Pictures
6570,2503,73616800.7842,465704233.565,Universal Pictures
6576,2270,73616800.7842,142564220.405,Paramount Pictures
6585,7485,64151783.5405,100641524.145,Paramount Pictures
6586,4347,31550057.4789,135945055.154,Universal Pictures
6598,4964,31550057.4789,230395891.173,Universal Pictures
6603,1949,68358457.8711,89166682.0035,Paramount Pictures
6608,6538,78875143.6974,125148992.517,Universal Pictures
6610,4349,73616800.7842,91136082.8648,Universal Pictures
6621,8271,21033371.6526,123844633.214,Paramount Pictures
6629,3563,89391829.5237,195686301.564,Universal Pictures
6630,1738,73616800.7842,19151950.23,Paramount Pictures
6633,4169,0.0,34948276.3099,Universal Pictures
6642,2310,73616800.7842,205849271.283,Paramount Pictures
6644,8277,0.0,0.0,Universal Pictures
6654,1858,157750287.395,746379478.412,Paramount Pictures
6668,4517,26291714.5658,78073312.6582,Universal Pictures
6690,13159,21033371.6526,0.0,Universal Pictures
6710,1257,0.0,73075706.7818,Universal Pictures
6719,10074,0.0,15075039.1825,Paramount Pictures
6789,13158,0.0,0.0,Paramount Pictures
6812,14397,12620022.9916,5558275.63792,Universal Pictures
6839,14001,21033371.6526,23365348.9294,Universal Pictures
